racquet_brands,racquet_models,racquet_image_url
Dunlop,Srixon Revo CX 2.0 LS,https://images.tennis-warehouse.com/dunlop_generic.jpg
Dunlop,Srixon Revo CX 4.0,https://images.tennis-warehouse.com/dunlop_generic.jpg
Dunlop,Srixon Revo CX Tour 18x20,https://images.tennis-warehouse.com/dunlop_generic.jpg
Dunlop,Srixon Revo CZ 100S,https://images.tennis-warehouse.com/dunlop_generic.jpg
Dunlop,Srixon Revo CZ 98D,https://images.tennis-warehouse.com/dunlop_generic.jpg
Dunlop,iDapt Force 100,https://images.tennis-warehouse.com/dunlop_generic.jpg
Dunlop,iDapt Force 100S,https://images.tennis-warehouse.com/dunlop_generic.jpg
Dunlop,iDapt Force 105,https://images.tennis-warehouse.com/dunlop_generic.jpg
Dunlop,iDapt Force 98,https://images.tennis-warehouse.com/dunlop_generic
Dunlop,iDapt Force 98,https://images.tennis-warehouse.com/dunlop_generic.jpg
Fischer,M Comp 95,https://images.tennis-warehouse.com/fischer_generic.jpg
Fischer,M Pro Number One 98 Light,https://images.tennis-warehouse.com/fischer_generic.jpg
Fischer,M Pro Number One 98 SL,https://images.tennis-warehouse.com/fischer_generic.jpg
Fischer,Magnetic Tour ++ (heavy),https://images.tennis-warehouse.com/fischer_generic.jpg
Fischer,Progressor NT,https://images.tennis-warehouse.com/fischer_generic.jpg
Gamma,Big Bubba,https://images.tennis-warehouse.com/gamma_generic.jpg
Gamma,C-1,https://images.tennis-warehouse.com/gamma_generic.jpg
Gamma,C-2,https://images.tennis-warehouse.com/gamma_generic.jpg
Gamma,C-3,https://images.tennis-warehouse.com/gamma_generic.jpg
Gamma,C-4,https://images.tennis-warehouse.com/gamma_generic.jpg
Gamma,CP-1000,https://images.tennis-warehouse.com/gamma_generic.jpg
